sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0032,Lighting,Table Lamps,2023-09-11,2948.93,6848.53
SKU0033,Furniture,Sofas,2022-12-31,294.04,607.43
SKU0034,Decor,Vases,2023-02-04,1370.98,3487.06
SKU0035,Decor,Candles,2023-06-09,3753.77,5996.76
SKU0036,Furniture,Tables,2023-07-11,3582.96,8234.82
SKU0037,Textiles,Cushions,2023-01-09,1366.33,3178.65
SKU0038,Lighting,Floor Lamps,2024-08-23,3025.14,5187.97
SKU0039,Textiles,Curtains,2023-09-27,3349.78,5305.85
SKU0040,Furniture,Tables,2023-05-07,906.27,1606.26
SKU0041,Lighting,Table Lamps,2022-12-09,704.01,997.39
SKU0042,Decor,Vases,2023-11-10,619.06,1242.82
SKU0043,Lighting,String Lights,2023-05-14,3245.88,7330.78
SKU0044,Lighting,String Lights,2023-11-10,3721.12,6984.89
SKU0045,Decor,Wall Art,2023-06-20,3829.15,6677.02
SKU0046,Textiles,Throws,2023-12-23,2590.8,3956.35
SKU0047,Furniture,Sofas,2023-07-18,2444.76,6159.89
SKU0048,Textiles,Throws,2023-06-29,218.67,334.78
SKU0049,Textiles,Throws,2023-02-17,2193.46,4665.97
SKU0050,Textiles,Curtains,2023-05-05,1590.61,3039.75
SKU0051,Lighting,String Lights,2023-01-20,1104.18,1859.43
SKU0052,Lighting,String Lights,2025-04-23,406.25,858.54
SKU0053,Furniture,Chairs,2023-02-06,703.91,1763.41
SKU0054,Furniture,Chairs,2023-09-10,594.64,847.59
SKU0055,Furniture,Chairs,2024-05-05,2425.9,5377.87
SKU0056,Decor,Mirrors,2023-08-27,3518.77,8520.2
SKU0057,Furniture,Tables,2023-10-21,1110.14,2315.17
SKU0058,Decor,Vases,2023-12-13,2166.45,3297.35
SKU0059,Textiles,Cushions,2023-12-12,531.59,1282.35
SKU0060,Textiles,Cushions,2022-12-06,3150.99,6840.74
SKU0061,Lighting,String Lights,2023-11-09,2129.76,5173.37
SKU0062,Decor,Mirrors,2023-07-31,1175.88,1843.45
SKU0063,Small Appliances,Kettles,2023-07-19,1564.92,2878.94
SKU0064,Decor,Vases,2023-08-03,1292.97,3282.37
SKU0065,Textiles,Curtains,2023-06-23,2211.42,5347.82
SKU0066,Lighting,Table Lamps,2023-02-14,2586.73,4515.88
SKU0067,Lighting,Table Lamps,2023-10-13,3463.77,5398.37
SKU0068,Small Appliances,Fans,2023-11-24,475.3,1199.24
SKU0069,Furniture,Shelving,2022-12-14,2435.68,5697.42
SKU0070,Lighting,String Lights,2022-12-19,2421.79,3666.73
SKU0071,Small Appliances,Kettles,2023-10-25,2353.86,4611.64
SKU0072,Small Appliances,Fans,2023-03-02,2044.79,4333.96
SKU0073,Textiles,Curtains,2024-04-05,487.68,1067.74
SKU0074,Decor,Mirrors,2023-02-26,1434.51,3554.77
SKU0075,Lighting,Floor Lamps,2023-09-15,1360.59,2162.16
SKU0076,Furniture,Chairs,2022-12-23,1625.78,3699.66
SKU0077,Small Appliances,Heaters,2022-12-23,1995.57,3695.06
SKU0078,Textiles,Cushions,2023-03-20,,1467.25
SKU0079,Lighting ,Table Lamps,2023-11-14,2791.47,3949.27
SKU0080,Decor,Candles,2023-02-05,1915.41,3698.23
SKU0081,Decor,Candles,2022-12-30,575.77,1494.95
SKU0082,Textiles,Rugs,2023-09-10,559.72,1454.67
SKU0083,Lighting,Table Lamps,2025-01-21,3603.58,5170.41
SKU0084,Decor,Vases,2023-11-05,913.09,2276.12
SKU0085,Lighting,String Lights,2024-02-19,348.88,742.11
SKU0086,Textiles,Curtains,2023-09-28,370.34,874.43
SKU0087,Textiles,Cushions,2023-02-27,3376.22,4889.38
SKU0088,Furniture,Chairs,2023-11-13,3018.97,6508.94
SKU0089,Textiles,Throws,2023-10-31,893.21,1540.71
SKU0090,Lighting,Floor Lamps,2022-12-05,359.83,769.88
SKU0091,FURNITURE,Chairs,2023-01-13,816.54,1233.03
SKU0092,Furniture,Tables,2022-12-05,3168.71,6856.11
SKU0093,Small Appliances,Blenders,2023-11-04,1310.17,2743.0
SKU0094,Lighting,Table Lamps,2023-04-17,721.49,1450.21
SKU0095,Decor,Mirrors,2024-10-17,666.26,1155.09
SKU0096,Decor,Candles,2023-07-14,2593.32,4912.2
SKU0097,Decor,Mirrors,2023-10-06,1370.61,1978.16
SKU0098,Decor,Vases,2023-06-26,2353.96,4893.71
SKU0099,Lighting,Floor Lamps,2023-04-17,1367.42,3206.49
SKU0100,Small Appliances,Kettles,2023-07-13,1538.53,3100.58
SKU0101,Lighting,Floor Lamps,2023-01-12,2088.99,4228.81
SKU0102,Lighting,Table Lamps,2023-08-29,2052.45,3158.78
SKU0103,Furniture,Shelving,2025-05-07,1230.35,2215.81
SKU0104,Furniture,Sofas,2023-08-29,206.53,494.15
SKU0105,Textiles,Throws,2023-08-06,2463.24,3802.27
SKU0106,Decor,Candles,2022-12-14,3122.6,5536.85
SKU0107,Lighting,Table Lamps,2023-03-25,2617.42,3698.08
SKU0108,Furniture,Shelving,2023-06-05,788.74,1895.79
SKU0109,Textiles,Curtains,2023-05-24,3962.74,6221.17
SKU0110,Decor,Mirrors,2024-09-02,3058.02,5873.03
SKU0111,Decor,Mirrors,2023-11-02,3642.35,5294.44
SKU0112,Decor,Wall Art,2023-09-07,2407.81,4796.23
SKU0113,Furniture,Tables,2023-09-26,2604.72,5675.63
SKU0114,Lighting,String Lights,2025-03-24,1561.44,3196.94
SKU0115,Decor,Mirrors,2023-01-29,3109.22,7531.83
SKU0116,Small Appliances,Blenders,2023-01-03,3423.56,6192.22
SKU0117,Small Appliances,Heaters,2024-11-17,1684.43,4212.43
SKU0118,Lighting,Floor Lamps,2023-10-22,887.67,1269.18
SKU0119,Textiles,Rugs,2023-07-06,2454.14,3457.34
SKU0120,Decor,Wall Art,2023-03-26,3929.95,8427.5
SKU0121,Small Appliances,Heaters,2023-03-03,2924.68,7475.05
SKU0122,Lighting,Floor Lamps,2025-05-20,2969.79,5726.07
SKU0123,Small Appliances,Heaters,2023-04-15,3940.63,6879.84
SKU0124,Lighting,String Lights,2023-03-08,626.9,908.46
SKU0125,Lighting,String Lights,2023-06-20,1940.15,4992.98
SKU0126,Decor,Wall Art,2025-04-10,2288.53,5406.59
SKU0127,Textiles,Throws,2025-04-26,1584.9,2311.48
SKU0128,Furniture,Shelving,2023-04-06,3128.82,7629.78
SKU0129,Lighting,Floor Lamps,2025-04-14,1052.96,2259.94
SKU0130,Textiles,Throws,2023-12-31,,3958.56
SKU0131,Decor,Candles,2023-01-08,1064.98,2580.81
SKU0132,Decor,Mirrors,2023-01-25,2422.73,4545.84
SKU0133,Decor,Candles,2023-01-12,476.52,862.65
SKU0134,Lighting,Floor Lamps,2023-02-13,1290.99,2439.36
SKU0135,Furniture,Chairs,2023-05-17,2848.39,6022.22
SKU0136,Decor,Vases,2022-12-31,667.31,1226.82
SKU0137,Furniture,Tables,2024-05-20,1895.13,4096.23
SKU0138,Decor,Vases,2023-07-17,3045.06,6239.41
SKU0139,Decor,Vases,2023-01-08,1402.57,3493.63
SKU0140,Small Appliances,Heaters,2023-03-11,2665.74,4689.73
SKU0141,Decor,Vases,2023-08-26,3516.11,6117.67
SKU0142,Small Appliances,Blenders,2023-02-19,1837.79,3623.22
SKU0143,Textiles,Rugs,2023-04-07,3624.83,8500.62
SKU0144,Furniture,Chairs,2024-12-04,2663.75,6783.02
SKU0145,Small Appliances,Heaters,2024-09-24,3845.13,5858.45
SKU0146,Furniture,Chairs,2024-06-14,1902.2,3841.12
SKU0147,Decor,Wall Art,2024-02-27,1630.34,2400.89
SKU0148,Lighting,Floor Lamps,2023-10-11,1667.38,3167.91
SKU0149,Furniture,Tables,2023-11-18,154.75,311.02
SKU0150,Small Appliances,Kettles,2023-08-21,3155.24,7602.38
SKU0151,Decor,Wall Art,2023-08-26,1997.47,4434.2
SKU0152,Decor,Candles,2023-08-22,336.99,658.12
SKU0153,Lighting,Table Lamps,2024-04-22,682.09,1706.99
SKU0154,Furniture,Shelving,2024-05-13,575.92,1234.88
SKU0155,Decor,Wall Art,2023-05-19,3420.33,4807.92
SKU0156,Textiles,Rugs,2023-04-29,3125.81,7585.06
SKU0157,Decor,Wall Art,2022-12-30,2473.18,6384.71
SKU0158,Decor,Candles,2023-02-10,3226.97,6844.02
SKU0159,FURNITURE,Sofas,2023-07-20,450.72,647.14
SKU0160,Decor,Vases,2023-12-25,2941.96,6618.56
SKU0161,Lighting,String Lights,2023-08-28,2436.25,3779.19
SKU0162,Furniture,Sofas,2023-03-30,2103.08,5447.25
SKU0163,Furniture,Shelving,2023-12-26,2400.86,3726.84
SKU0164,Textiles,Cushions,2023-01-14,2543.9,4395.41
SKU0165,Furniture,Tables,2023-05-09,2704.94,6501.31
SKU0166,Furniture,Chairs,2023-05-08,3514.47,5990.05
SKU0167,Small Appliances,Kettles,2023-05-25,2758.84,6265.11
SKU0168,Small Appliances,Blenders,2023-03-04,1764.2,3559.27
SKU0169,Furniture,Chairs,2023-02-17,1720.65,2603.15
SKU0170,Textiles,Rugs,2023-07-27,725.09,1851.78
SKU0171,Furniture,Sofas,2023-10-14,3663.44,6061.44
SKU0172,decor ,Mirrors,2023-03-14,1609.35,3251.57
SKU0173,Lighting,Floor Lamps,2023-03-15,2344.25,3576.24
SKU0174,Textiles,Rugs,2023-01-20,534.47,879.35
SKU0175,Lighting,Floor Lamps,2023-12-23,1602.01,3625.63
SKU0176,Textiles,Rugs,2023-07-28,2493.65,5229.65
SKU0177,Decor,Wall Art,2023-05-06,1950.41,3191.05
SKU0178,Decor,Vases,2023-07-28,777.06,1726.22
SKU0179,Decor,Wall Art,2022-12-16,530.86,1223.21
SKU0180,Textiles,Throws,2023-09-12,865.2,1753.25
SKU0181,Decor,Vases,2024-06-21,2003.74,5111.94
SKU0182,Lighting,String Lights,2024-10-29,1121.88,1967.47
SKU0183,Lighting,Table Lamps,2023-01-16,3940.59,10162.15
SKU0184,Textiles,Rugs,2023-12-04,,2728.33
SKU0185,Furniture,Shelving,2023-01-28,2238.1,3577.32
SKU0186,Decor,Vases,2023-10-29,2399.28,5475.53
SKU0187,Decor,Mirrors,2023-08-06,3076.06,7157.45
SKU0188,Furniture,Sofas,2022-12-21,3600.07,5473.82
SKU0189,Decor,Wall Art,2023-01-28,1742.24,3379.65
SKU0190,Decor,Mirrors,2023-03-23,3517.11,6356.07
SKU0191,Small Appliances,Fans,2023-09-24,770.83,1948.68
SKU0192,Textiles,Cushions,2023-02-25,2038.84,4150.46
SKU0193,Small Appliances,Heaters,2023-07-12,633.81,1611.59
SKU0194,Small Appliances,Heaters,2022-12-16,2284.5,3767.74
SKU0195,Decor,Mirrors,2024-02-16,3679.87,6571.66
SKU0196,Small Appliances,Kettles,2023-06-29,2197.76,3570.67
SKU0197,Textiles,Cushions,2023-02-08,1954.72,3095.21
SKU0198,Textiles,Rugs,2024-08-05,1468.25,3455.3
SKU0199,Lighting,Table Lamps,2023-03-07,966.03,2423.32
SKU0200,Decor,Vases,2025-01-15,3974.47,6903.96
