date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-08,SKU0003,34,38,41.0,20
2024-01-15,SKU0003,208,0,41.0,20
2024-01-22,SKU0003,187,0,41.0,20
2024-01-29,SKU0003,174,0,41.0,20
2024-02-05,SKU0003,152,79,41.0,20
2024-02-12,SKU0003,138,0,41.0,20
2024-02-19,SKU0003,130,0,41.0,20
2024-02-26,SKU0003,110,0,41.0,20
2024-03-04,SKU0003,100,0,41.0,20
2024-03-11,SKU0003,98,0,41.0,20
2024-03-18,SKU0003,90,0,41.0,20
2024-03-25,SKU0003,67,111,41.0,20
2024-04-01,SKU0003,59,100,41.0,20
2024-04-08,SKU0003,43,0,41.0,20
2024-04-15,SKU0003,23,0,41.0,20
2024-04-22,SKU0003,137,0,41.0,20
2024-04-29,SKU0003,124,8,41.0,20
2024-05-06,SKU0003,103,0,41.0,20
2024-05-13,SKU0003,86,0,41.0,20
2024-05-20,SKU0003,83,0,41.0,20
2024-05-27,SKU0003,64,0,41.0,20
2024-06-03,SKU0003,56,0,41.0,20
2024-06-10,SKU0003,49,0,41.0,20
2024-06-17,SKU0003,41,0,41.0,20
2024-06-24,SKU0003,20,35,41.0,20
2024-07-01,SKU0003,190,0,41.0,20
2024-07-08,SKU0003,171,0,41.0,20
2024-07-15,SKU0003,164,0,41.0,20
2024-07-22,SKU0003,154,75,41.0,20
2024-07-29,SKU0003,130,0,41.0,20
2024-08-05,SKU0003,120,0,41.0,20
2024-08-12,SKU0003,97,0,41.0,20
2024-08-19,SKU0003,85,0,41.0,20
2024-08-26,SKU0003,66,0,41.0,20
2024-09-02,SKU0003,43,0,41.0,20
2024-09-09,SKU0003,35,0,41.0,20
2024-09-16,SKU0003,25,27,41.0,20
2024-09-23,SKU0003,23,0,41.0,20
2024-09-30,SKU0003,14,1,41.0,20
2024-10-07,SKU0003,174,0,41.0,20
2024-10-14,SKU0003,168,0,41.0,20
2024-10-21,SKU0003,156,0,41.0,20
2024-10-28,SKU0003,149,0,41.0,20
2024-11-04,SKU0003,144,0,41.0,20
2024-11-11,SKU0003,141,77,41.0,20
2024-11-18,SKU0003,123,0,41.0,20
2024-11-25,SKU0003,113,0,41.0,20
2024-12-02,SKU0003,89,99,41.0,20
2024-12-09,SKU0003,72,94,41.0,20
2024-12-16,SKU0003,71,0,41.0,20
2024-12-23,SKU0003,56,0,41.0,20
2024-12-30,SKU0003,51,0,41.0,20
2025-01-06,SKU0003,46,0,41.0,20
2025-01-13,SKU0003,24,0,41.0,20
2025-01-20,SKU0003,14,0,41.0,20
2025-01-27,SKU0003,11,76,41.0,20
2025-02-03,SKU0003,0,0,41.0,20
2025-02-10,SKU0003,154,0,41.0,20
2025-02-17,SKU0003,140,92,41.0,20
2025-02-24,SKU0003,118,0,41.0,20
2025-03-03,SKU0003,104,0,41.0,20
2025-03-10,SKU0003,92,17,41.0,20
2025-03-17,SKU0003,90,108,41.0,20
2025-03-24,SKU0003,89,0,41.0,20
2025-03-31,SKU0003,82,86,41.0,20
2025-04-07,SKU0003,80,0,41.0,20
2025-04-14,SKU0003,73,27,41.0,20
2025-04-21,SKU0003,61,0,41.0,20
2025-04-28,SKU0003,50,0,41.0,20
2025-05-05,SKU0003,34,0,41.0,20
2025-05-12,SKU0003,27,109,41.0,20
2025-05-19,SKU0003,74,0,41.0,20
2025-05-26,SKU0003,63,0,41.0,20
2025-06-02,SKU0003,42,0,41.0,20
2025-06-09,SKU0003,20,0,41.0,20
2025-06-16,SKU0003,150,0,41.0,20
2025-06-23,SKU0003,136,0,41.0,20
2025-06-30,SKU0003,128,0,41.0,20
2025-07-07,SKU0003,118,35,41.0,20
2025-07-14,SKU0003,106,0,41.0,20
2025-07-21,SKU0003,96,0,41.0,20
2025-07-28,SKU0003,80,63,41.0,20
2025-08-04,SKU0003,77,0,41.0,20
2025-08-11,SKU0003,58,0,41.0,20
2025-08-18,SKU0003,44,0,41.0,20
2025-08-25,SKU0003,29,0,41.0,20
2025-09-01,SKU0003,201,0,41.0,20
2025-09-08,SKU0003,178,63,41.0,20
2025-09-15,SKU0003,178,0,41.0,20
2025-09-22,SKU0003,166,0,41.0,20
2025-09-29,SKU0003,159,0,41.0,20
2024-12-02,SKU0004,210,108,44.0,42
2024-12-09,SKU0004,188,0,44.0,42
2024-12-16,SKU0004,170,0,44.0,42
2024-12-23,SKU0004,149,0,44.0,42
2024-12-30,SKU0004,145,0,44.0,42
2025-01-06,SKU0004,126,0,44.0,42
2025-01-13,SKU0004,114,48,44.0,42
2025-01-20,SKU0004,95,0,44.0,42
2025-01-27,SKU0004,73,0,44.0,42
2025-02-03,SKU0004,73,0,44.0,42
2025-02-10,SKU0004,56,81,44.0,42
2025-02-17,SKU0004,47,33,44.0,42
2025-02-24,SKU0004,159,18,44.0,42
2025-03-03,SKU0004,156,52,44.0,42
2025-03-10,SKU0004,146,0,44.0,42
2025-03-17,SKU0004,128,0,44.0,42
2025-03-24,SKU0004,125,0,44.0,42
2025-03-31,SKU0004,113,0,44.0,42
2025-04-07,SKU0004,100,0,44.0,42
2025-04-14,SKU0004,81,0,44.0,42
2025-04-21,SKU0004,81,0,44.0,42
2025-04-28,SKU0004,69,0,44.0,42
2025-05-05,SKU0004,50,0,44.0,42
2025-05-12,SKU0004,47,0,44.0,42
2025-05-19,SKU0004,43,0,44.0,42
2025-05-26,SKU0004,42,0,44.0,42
2025-06-02,SKU0004,40,0,44.0,42
2025-06-09,SKU0004,26,0,44.0,42
2025-06-16,SKU0004,108,0,44.0,42
2025-06-23,SKU0004,106,52,44.0,42
2025-06-30,SKU0004,102,0,44.0,42
2025-07-07,SKU0004,102,0,44.0,42
2025-07-14,SKU0004,95,0,44.0,42
2025-07-21,SKU0004,80,0,44.0,42
2025-07-28,SKU0004,64,0,44.0,42
2025-08-04,SKU0004,60,0,44.0,42
2025-08-11,SKU0004,57,0,44.0,42
2025-08-18,SKU0004,49,0,44.0,42
2025-08-25,SKU0004,40,0,44.0,42
2025-09-01,SKU0004,38,0,44.0,42
2025-09-08,SKU0004,147,28,44.0,42
2025-09-15,SKU0004,129,0,44.0,42
2025-09-22,SKU0004,123,92,44.0,42
2025-09-29,SKU0004,121,0,44.0,42
2024-01-01,SKU0005,125,0,21.0,12
2024-01-08,SKU0005,111,105,21.0,12
2024-01-15,SKU0005,108,0,21.0,12
2024-01-22,SKU0005,87,0,21.0,12
2024-01-29,SKU0005,79,73,21.0,12
2024-02-05,SKU0005,56,0,21.0,12
2024-02-12,SKU0005,37,102,21.0,12
2024-02-19,SKU0005,23,0,21.0,12
2024-02-26,SKU0005,23,0,21.0,12
2024-03-04,SKU0005,103,0,21.0,12
2024-03-11,SKU0005,92,17,21.0,12
2024-03-18,SKU0005,82,0,21.0,12
2024-03-25,SKU0005,82,0,21.0,12
2024-04-01,SKU0005,81,0,21.0,12
2024-04-08,SKU0005,69,0,21.0,12
2024-04-15,SKU0005,68,0,21.0,12
2024-04-22,SKU0005,49,0,21.0,12
2024-04-29,SKU0005,27,0,21.0,12
2024-05-06,SKU0005,16,0,21.0,12
2024-05-13,SKU0005,13,53,21.0,12
2024-05-20,SKU0005,13,81,21.0,12
2024-05-27,SKU0005,5,0,21.0,12
2024-06-03,SKU0005,0,0,21.0,12
2024-06-10,SKU0005,0,0,21.0,12
2024-06-17,SKU0005,123,0,21.0,12
2024-06-24,SKU0005,106,0,21.0,12
2024-07-01,SKU0005,96,32,21.0,12
2024-07-08,SKU0005,79,74,21.0,12
2024-07-15,SKU0005,62,105,21.0,12
2024-07-22,SKU0005,41,36,21.0,12
2024-07-29,SKU0005,33,0,21.0,12
2024-08-05,SKU0005,27,76,21.0,12
2024-08-12,SKU0005,19,10,21.0,12
2024-08-19,SKU0005,163,0,21.0,12
2024-08-26,SKU0005,154,89,21.0,12
2024-09-02,SKU0005,130,0,21.0,12
2024-09-09,SKU0005,124,0,21.0,12
2024-09-16,SKU0005,113,0,21.0,12
2024-09-23,SKU0005,90,83,21.0,12
2024-09-30,SKU0005,84,0,21.0,12
2024-10-07,SKU0005,81,0,21.0,12
2024-10-14,SKU0005,65,0,21.0,12
2024-10-21,SKU0005,44,0,21.0,12
2024-10-28,SKU0005,29,21,21.0,12
2024-11-04,SKU0005,19,0,21.0,12
2024-11-11,SKU0005,108,109,21.0,12
2024-11-18,SKU0005,89,50,21.0,12
2024-11-25,SKU0005,66,0,21.0,12
2024-12-02,SKU0005,51,0,21.0,12
2024-12-09,SKU0005,48,0,21.0,12
2024-12-16,SKU0005,47,0,21.0,12
2024-12-23,SKU0005,29,0,21.0,12
2024-12-30,SKU0005,27,112,21.0,12
2025-01-06,SKU0005,17,64,21.0,12
2025-01-13,SKU0005,15,79,21.0,12
2025-01-20,SKU0005,191,0,21.0,12
2025-01-27,SKU0005,167,0,21.0,12
2025-02-03,SKU0005,157,0,21.0,12
2025-02-10,SKU0005,133,0,21.0,12
2025-02-17,SKU0005,124,0,21.0,12
2025-02-24,SKU0005,111,15,21.0,12
2025-03-03,SKU0005,108,47,21.0,12
2025-03-10,SKU0005,102,0,21.0,12
2025-03-17,SKU0005,98,51,21.0,12
2025-03-24,SKU0005,75,0,21.0,12
2025-03-31,SKU0005,56,118,21.0,12
2025-04-07,SKU0005,42,0,21.0,12
2025-04-14,SKU0005,37,0,21.0,12
2025-04-21,SKU0005,26,0,21.0,12
2025-04-28,SKU0005,182,0,21.0,12
2025-05-05,SKU0005,171,87,21.0,12
2025-05-12,SKU0005,154,0,21.0,12
2025-05-19,SKU0005,151,0,21.0,12
2025-05-26,SKU0005,141,0,21.0,12
2025-06-02,SKU0005,120,0,21.0,12
2025-06-09,SKU0005,120,0,21.0,12
2025-06-16,SKU0005,118,73,21.0,12
2025-06-23,SKU0005,112,0,21.0,12
2025-06-30,SKU0005,96,87,21.0,12
2025-07-07,SKU0005,96,0,21.0,12
2025-07-14,SKU0005,79,0,21.0,12
2025-07-21,SKU0005,60,0,21.0,12
2025-07-28,SKU0005,57,8,21.0,12
2025-08-04,SKU0005,37,0,21.0,12
2025-08-11,SKU0005,33,56,21.0,12
2025-08-18,SKU0005,12,10,21.0,12
2025-08-25,SKU0005,12,0,21.0,12
2025-09-01,SKU0005,154,0,21.0,12
2025-09-08,SKU0005,143,48,21.0,12
2025-09-15,SKU0005,124,36,21.0,12
2025-09-22,SKU0005,117,0,21.0,12
2025-09-29,SKU0005,116,0,21.0,12
2024-10-14,SKU0006,130,0,18.0,44
2024-10-21,SKU0006,119,0,18.0,44
2024-10-28,SKU0006,106,38,18.0,44
2024-11-04,SKU0006,92,0,18.0,44
2024-11-11,SKU0006,68,0,18.0,44
2024-11-18,SKU0006,54,0,18.0,44
2024-11-25,SKU0006,47,0,18.0,44
2024-12-02,SKU0006,212,0,18.0,44
2024-12-09,SKU0006,209,94,18.0,44
2024-12-16,SKU0006,203,0,18.0,44
2024-12-23,SKU0006,193,56,18.0,44
2024-12-30,SKU0006,193,116,18.0,44
2025-01-06,SKU0006,188,0,18.0,44
2025-01-13,SKU0006,171,24,18.0,44
2025-01-20,SKU0006,169,0,18.0,44
2025-01-27,SKU0006,158,0,18.0,44
2025-02-03,SKU0006,139,0,18.0,44
2025-02-10,SKU0006,122,0,18.0,44
2025-02-17,SKU0006,119,0,18.0,44
2025-02-24,SKU0006,109,0,18.0,44
2025-03-03,SKU0006,89,77,18.0,44
2025-03-10,SKU0006,73,10,18.0,44
2025-03-17,SKU0006,69,0,18.0,44
2025-03-24,SKU0006,50,0,18.0,44
2025-03-31,SKU0006,99,114,18.0,44
2025-04-07,SKU0006,92,0,18.0,44
2025-04-14,SKU0006,81,0,18.0,44
2025-04-21,SKU0006,81,0,18.0,44
2025-04-28,SKU0006,64,30,18.0,44
2025-05-05,SKU0006,198,0,18.0,44
2025-05-12,SKU0006,181,0,18.0,44
2025-05-19,SKU0006,180,117,18.0,44
2025-05-26,SKU0006,171,0,18.0,44
2025-06-02,SKU0006,160,0,18.0,44
2025-06-09,SKU0006,154,0,18.0,44
2025-06-16,SKU0006,139,0,18.0,44
2025-06-23,SKU0006,138,0,18.0,44
2025-06-30,SKU0006,136,48,18.0,44
2025-07-07,SKU0006,115,0,18.0,44
2025-07-14,SKU0006,105,0,18.0,44
2025-07-21,SKU0006,99,93,18.0,44
2025-07-28,SKU0006,77,0,18.0,44
2025-08-04,SKU0006,72,83,18.0,44
2025-08-11,SKU0006,71,117,18.0,44
2025-08-18,SKU0006,68,0,18.0,44
2025-08-25,SKU0006,49,4,18.0,44
2025-09-01,SKU0006,48,96,18.0,44
2025-09-08,SKU0006,47,0,18.0,44
2025-09-15,SKU0006,190,0,18.0,44
2025-09-22,SKU0006,174,0,18.0,44
2025-09-29,SKU0006,172,0,18.0,44
2024-01-01,SKU0007,177,102,29.0,54
2024-01-08,SKU0007,164,0,29.0,54
2024-01-15,SKU0007,149,0,29.0,54
2024-01-22,SKU0007,132,0,29.0,54
2024-01-29,SKU0007,113,53,29.0,54
2024-02-05,SKU0007,106,0,29.0,54
2024-02-12,SKU0007,104,0,29.0,54
2024-02-19,SKU0007,103,0,29.0,54
2024-02-26,SKU0007,98,61,29.0,54
2024-03-04,SKU0007,75,0,29.0,54
2024-03-11,SKU0007,236,59,29.0,54
2024-03-18,SKU0007,222,0,29.0,54
2024-03-25,SKU0007,199,0,29.0,54
2024-04-01,SKU0007,194,0,29.0,54
2024-04-08,SKU0007,177,0,29.0,54
2024-04-15,SKU0007,162,0,29.0,54
2024-04-22,SKU0007,158,104,29.0,54
2024-04-29,SKU0007,141,0,29.0,54
2024-05-06,SKU0007,122,0,29.0,54
2024-05-13,SKU0007,112,119,29.0,54
2024-05-20,SKU0007,98,0,29.0,54
2024-05-27,SKU0007,79,0,29.0,54
2024-06-03,SKU0007,62,0,29.0,54
2024-06-10,SKU0007,60,0,29.0,54
2024-06-17,SKU0007,36,0,29.0,54
2024-06-24,SKU0007,25,97,29.0,54
2024-07-01,SKU0007,144,69,29.0,54
2024-07-08,SKU0007,125,0,29.0,54
2024-07-15,SKU0007,111,0,29.0,54
2024-07-22,SKU0007,92,0,29.0,54
2024-07-29,SKU0007,81,0,29.0,54
2024-08-05,SKU0007,73,0,29.0,54
2024-08-12,SKU0007,58,0,29.0,54
2024-08-19,SKU0007,40,0,29.0,54
2024-08-26,SKU0007,108,0,29.0,54
2024-09-02,SKU0007,103,0,29.0,54
2024-09-09,SKU0007,85,118,29.0,54
2024-09-16,SKU0007,67,29,29.0,54
2024-09-23,SKU0007,59,0,29.0,54
2024-09-30,SKU0007,38,0,29.0,54
2024-10-07,SKU0007,18,41,29.0,54
2024-10-14,SKU0007,0,47,29.0,54
2024-10-21,SKU0007,165,0,29.0,54
2024-10-28,SKU0007,143,0,29.0,54
2024-11-04,SKU0007,140,0,29.0,54
2024-11-11,SKU0007,128,0,29.0,54
2024-11-18,SKU0007,110,63,29.0,54
2024-11-25,SKU0007,107,51,29.0,54
2024-12-02,SKU0007,88,0,29.0,54
2024-12-09,SKU0007,66,0,29.0,54
2024-12-16,SKU0007,48,117,29.0,54
2024-12-23,SKU0007,147,52,29.0,54
2024-12-30,SKU0007,144,0,29.0,54
2025-01-06,SKU0007,136,52,29.0,54
2025-01-13,SKU0007,129,58,29.0,54
2025-01-20,SKU0007,121,0,29.0,54
2025-01-27,SKU0007,112,0,29.0,54
2025-02-03,SKU0007,88,0,29.0,54
2025-02-10,SKU0007,75,0,29.0,54
2025-02-17,SKU0007,64,0,29.0,54
2025-02-24,SKU0007,44,48,29.0,54
2025-03-03,SKU0007,152,0,29.0,54
2025-03-10,SKU0007,152,0,29.0,54
2025-03-17,SKU0007,152,0,29.0,54
2025-03-24,SKU0007,140,0,29.0,54
2025-03-31,SKU0007,130,0,29.0,54
2025-04-07,SKU0007,107,17,29.0,54
2025-04-14,SKU0007,97,0,29.0,54
2025-04-21,SKU0007,91,0,29.0,54
2025-04-28,SKU0007,69,55,29.0,54
2025-05-05,SKU0007,53,0,29.0,54
2025-05-12,SKU0007,192,0,29.0,54
2025-05-19,SKU0007,172,0,29.0,54
2025-05-26,SKU0007,150,0,29.0,54
2025-06-02,SKU0007,135,0,29.0,54
2025-06-09,SKU0007,121,21,29.0,54
2025-06-16,SKU0007,106,0,29.0,54
2025-06-23,SKU0007,87,35,29.0,54
2025-06-30,SKU0007,81,63,29.0,54
2025-07-07,SKU0007,76,0,29.0,54
2025-07-14,SKU0007,52,98,29.0,54
2025-07-21,SKU0007,178,0,29.0,54
2025-07-28,SKU0007,160,0,29.0,54
2025-08-04,SKU0007,153,0,29.0,54
2025-08-11,SKU0007,134,0,29.0,54
2025-08-18,SKU0007,113,0,29.0,54
2025-08-25,SKU0007,106,0,29.0,54
2025-09-01,SKU0007,89,0,29.0,54
2025-09-08,SKU0007,71,0,29.0,54
2025-09-15,SKU0007,63,0,29.0,54
2025-09-22,SKU0007,60,0,29.0,54
2025-09-29,SKU0007,128,0,29.0,54
2024-01-01,SKU0008,142,0,15.0,66
2024-01-08,SKU0008,139,41,15.0,66
2024-01-15,SKU0008,118,0,15.0,66
2024-01-22,SKU0008,116,0,15.0,66
2024-01-29,SKU0008,109,0,15.0,66
2024-02-05,SKU0008,90,0,15.0,66
2024-02-12,SKU0008,72,115,15.0,66
2024-02-19,SKU0008,246,0,15.0,66
2024-02-26,SKU0008,242,92,15.0,66
2024-03-04,SKU0008,242,5,15.0,66
2024-03-11,SKU0008,232,0,15.0,66
2024-03-18,SKU0008,214,58,15.0,66
2024-03-25,SKU0008,190,0,15.0,66
2024-04-01,SKU0008,179,0,15.0,66
2024-04-08,SKU0008,159,0,15.0,66
2024-04-15,SKU0008,157,0,15.0,66
2024-04-22,SKU0008,143,0,15.0,66
2024-04-29,SKU0008,132,0,15.0,66
2024-05-06,SKU0008,132,0,15.0,66
2024-05-13,SKU0008,123,0,15.0,66
2024-05-20,SKU0008,117,0,15.0,66
2024-05-27,SKU0008,110,69,15.0,66
2024-06-03,SKU0008,98,80,15.0,66
2024-06-10,SKU0008,97,0,15.0,66
2024-06-17,SKU0008,94,0,15.0,66
2024-06-24,SKU0008,72,89,15.0,66
2024-07-01,SKU0008,58,0,15.0,66
2024-07-08,SKU0008,44,0,15.0,66
2024-07-15,SKU0008,42,0,15.0,66
2024-07-22,SKU0008,41,0,15.0,66
2024-07-29,SKU0008,19,34,15.0,66
2024-08-05,SKU0008,0,23,15.0,66
2024-08-12,SKU0008,0,0,15.0,66
2024-08-19,SKU0008,85,0,15.0,66
2024-08-26,SKU0008,78,0,15.0,66
2024-09-02,SKU0008,78,61,15.0,66
2024-09-09,SKU0008,65,0,15.0,66
2024-09-16,SKU0008,47,45,15.0,66
2024-09-23,SKU0008,147,82,15.0,66
2024-09-30,SKU0008,139,0,15.0,66
2024-10-07,SKU0008,131,5,15.0,66
2024-10-14,SKU0008,126,0,15.0,66
2024-10-21,SKU0008,108,0,15.0,66
2024-10-28,SKU0008,94,0,15.0,66
2024-11-04,SKU0008,83,18,15.0,66
2024-11-11,SKU0008,210,48,15.0,66
2024-11-18,SKU0008,192,0,15.0,66
2024-11-25,SKU0008,191,0,15.0,66
2024-12-02,SKU0008,181,0,15.0,66
2024-12-09,SKU0008,181,0,15.0,66
