sku_id,horizon_demand,on_hand_units,on_order_units,available_stock,stockout_risk,overstock_risk,recommended_action
SKU0140,55.59275812646546,193,48,241,0,1,Markdown / clear
SKU0141,556.5817300101711,145,14,159,1,0,Reorder now
SKU0142,333.55662811130395,76,0,76,1,0,Reorder now
SKU0143,39.78863512096123,142,5,147,0,1,Markdown / clear
SKU0144,69.97518300332706,57,0,57,1,0,Reorder now
SKU0145,3314.1743982697703,98,73,171,1,0,Reorder now
SKU0146,15.402389000764984,190,0,190,0,1,Markdown / clear
SKU0147,2415.4142519671964,90,0,90,1,0,Reorder now
SKU0148,1835.0830208409132,81,0,81,1,0,Reorder now
SKU0149,141.3055800239769,80,0,80,1,0,Reorder now
SKU0150,76.95313146823543,47,0,47,1,0,Reorder now
SKU0151,322.56757123615597,150,0,150,1,0,Reorder now
SKU0152,430.4608669783428,176,0,176,1,0,Reorder now
SKU0153,1599.4658843321695,34,0,34,1,0,Reorder now
SKU0154,2280.222489164507,33,0,33,1,0,Reorder now
SKU0155,493.1753068760265,113,3,116,1,0,Reorder now
SKU0156,109.82284152080865,96,0,96,1,0,Reorder now
SKU0157,15.394976394816272,32,57,89,0,1,Markdown / clear
SKU0158,15.379810974708024,116,0,116,0,1,Markdown / clear
SKU0159,72.57167226418707,13,0,13,1,0,Reorder now
SKU0160,2255.3123122179786,48,0,48,1,0,Reorder now
SKU0161,2512.0788813019644,139,0,139,1,0,Reorder now
SKU0162,452.168959855406,122,3,125,1,0,Reorder now
SKU0163,38.26518377287685,114,0,114,0,1,Markdown / clear
SKU0164,585.1656175456802,131,0,131,1,0,Reorder now
SKU0165,53.44862933044028,139,118,257,0,1,Markdown / clear
SKU0166,3319.897988641313,90,0,90,1,0,Reorder now
SKU0167,1602.6813728428056,101,0,101,1,0,Reorder now
SKU0168,850.14030150717,0,115,115,1,0,Reorder now
SKU0169,1810.8698553171803,25,0,25,1,0,Reorder now
SKU0170,1422.35137261624,155,0,155,1,0,Reorder now
SKU0171,1669.1753513419287,75,0,75,1,0,Reorder now
SKU0172,382.6130193998787,94,0,94,1,0,Reorder now
SKU0173,78.980892559036,30,25,55,1,0,Reorder now
SKU0174,30.8571684906184,98,0,98,0,1,Markdown / clear
SKU0175,890.3194963897698,76,0,76,1,0,Reorder now
SKU0176,1253.574013361137,72,0,72,1,0,Reorder now
SKU0177,1069.2157089758366,79,0,79,1,0,Reorder now
SKU0178,657.2943232444487,48,52,100,1,0,Reorder now
SKU0179,1970.6627077219691,49,0,49,1,0,Reorder now
SKU0180,17.195703160615782,218,93,311,0,1,Markdown / clear
SKU0181,1727.791752301286,85,0,85,1,0,Reorder now
SKU0182,2976.1775692626125,158,0,158,1,0,Reorder now
SKU0183,1636.5693336002323,153,44,197,1,0,Reorder now
SKU0184,2859.8265046048123,125,0,125,1,0,Reorder now
SKU0185,2627.856178070119,22,107,129,1,0,Reorder now
SKU0186,148.06009367646587,57,0,57,1,0,Reorder now
SKU0187,479.09128847039574,128,0,128,1,0,Reorder now
SKU0188,15.375674057966169,144,0,144,0,1,Markdown / clear
SKU0189,3135.0558413254826,197,105,302,1,0,Reorder now
SKU0190,2505.7021522045675,138,0,138,1,0,Reorder now
SKU0191,1123.886918242166,94,63,157,1,0,Reorder now
SKU0192,123.54219016958558,79,0,79,1,0,Reorder now
SKU0193,96.17046607373466,160,9,169,0,0,Healthy
SKU0194,969.9024268044066,0,0,0,1,0,Reorder now
SKU0195,38.09446980208663,209,0,209,0,1,Markdown / clear
SKU0196,103.59904496543676,25,119,144,0,0,Healthy
SKU0197,3185.0746517412495,1,0,1,1,0,Reorder now
SKU0198,14.570109072549862,74,0,74,0,1,Markdown / clear
SKU0199,1325.603296347126,88,0,88,1,0,Reorder now
SKU0200,15.375674057966169,76,0,76,0,1,Markdown / clear
